date,MTSDS133FMS
2000-01-01,62152.0
2000-02-01,-41734.0
2000-03-01,-35380.0
2000-04-01,159497.0
2000-05-01,-3611.0
2000-06-01,55888.0
2000-07-01,5061.0
2000-08-01,-10427.0
2000-09-01,65747.0
2000-10-01,-11321.0
2000-11-01,-23690.0
2000-12-01,32666.0
2001-01-01,76379.0
2001-02-01,-48168.0
2001-03-01,-50662.0
2001-04-01,189796.0
2001-05-01,-27919.0
2001-06-01,31862.0
2001-07-01,2820.0
2001-08-01,-79990.0
2001-09-01,35501.0
2001-10-01,-7656.0
2001-11-01,-54267.0
2001-12-01,26567.0
2002-01-01,43729.0
2002-02-01,-76056.0
2002-03-01,-64238.0
2002-04-01,67170.0
2002-05-01,-80631.0
2002-06-01,29071.0
2002-07-01,-29159.0
2002-08-01,-54709.0
2002-09-01,42388.0
2002-10-01,-54072.0
2002-11-01,-58883.0
2002-12-01,4719.0
2003-01-01,10633.0
2003-02-01,-96663.0
2003-03-01,-58877.0
2003-04-01,51066.0
2003-05-01,-88867.0
2003-06-01,21230.0
2003-07-01,-54240.0
2003-08-01,-76587.0
2003-09-01,23402.0
2003-10-01,-69545.0
2003-11-01,-42971.0
2003-12-01,-17640.0
2004-01-01,-1633.0
2004-02-01,-96701.0
2004-03-01,-72913.0
2004-04-01,17578.0
2004-05-01,-62463.0
2004-06-01,19124.0
2004-07-01,-69160.0
2004-08-01,-41132.0
2004-09-01,24611.0
2004-10-01,-56618.0
2004-11-01,-57170.0
2004-12-01,-2561.0
2005-01-01,8106.0
2005-02-01,-113789.0
2005-03-01,-71724.0
2005-04-01,57924.0
2005-05-01,-36190.0
2005-06-01,22473.0
2005-07-01,-53395.0
2005-08-01,-51036.0
2005-09-01,35234.0
2005-10-01,-47277.0
2005-11-01,-83072.0
2005-12-01,10967.0
2006-01-01,20964.0
2006-02-01,-119237.0
2006-03-01,-85281.0
2006-04-01,118841.0
2006-05-01,-42907.0
2006-06-01,20517.0
2006-07-01,-33164.0
2006-08-01,-64717.0
2006-09-01,56167.0
2006-10-01,-49321.0
2006-11-01,-73042.0
2006-12-01,41961.0
2007-01-01,38236.0
2007-02-01,-119993.0
2007-03-01,-96270.0
2007-04-01,177674.0
2007-05-01,-67699.0
2007-06-01,27481.0
2007-07-01,-36447.0
2007-08-01,-116973.0
2007-09-01,112866.0
2007-10-01,-56838.0
2007-11-01,-98238.0
2007-12-01,48261.0
2008-01-01,17839.0
2008-02-01,-175563.0
2008-03-01,-48212.0
2008-04-01,159282.0
2008-05-01,-165927.0
2008-06-01,33547.0
2008-07-01,-102767.0
2008-08-01,-111914.0
2008-09-01,45734.0
2008-10-01,-155533.0
2008-11-01,-125201.0
2008-12-01,-51754.0
2009-01-01,-63457.0
2009-02-01,-193859.0
2009-03-01,-191589.0
2009-04-01,-20907.0
2009-05-01,-189651.0
2009-06-01,-94332.0
2009-07-01,-180680.0
2009-08-01,-103555.0
2009-09-01,-45207.0
2009-10-01,-176363.0
2009-11-01,-120287.0
2009-12-01,-91410.0
2010-01-01,-42634.0
2010-02-01,-220909.0
2010-03-01,-65387.0
2010-04-01,-82689.0
2010-05-01,-135927.0
2010-06-01,-68422.0
2010-07-01,-165043.0
2010-08-01,-90526.0
2010-09-01,-34607.0
2010-10-01,-140432.0
2010-11-01,-150394.0
2010-12-01,-78134.0
2011-01-01,-49796.0
2011-02-01,-222507.0
2011-03-01,-188154.0
2011-04-01,-40387.0
2011-05-01,-57641.0
2011-06-01,-43080.0
2011-07-01,-129376.0
2011-08-01,-134143.0
2011-09-01,-62750.0
2011-10-01,-98466.0
2011-11-01,-137302.0
2011-12-01,-85967.0
2012-01-01,-27407.0
2012-02-01,-231677.0
2012-03-01,-198157.0
2012-04-01,59117.0
2012-05-01,-124636.0
2012-06-01,-59741.0
2012-07-01,-69604.0
2012-08-01,-190533.0
2012-09-01,75180.0
2012-10-01,-119995.0
2012-11-01,-172112.0
2012-12-01,-1191.0
2013-01-01,2886.0
2013-02-01,-203539.0
2013-03-01,-106530.0
2013-04-01,112889.0
2013-05-01,-138732.0
2013-06-01,116501.0
2013-07-01,-97597.0
2013-08-01,-147905.0
2013-09-01,75114.0
2013-10-01,-90585.0
2013-11-01,-135226.0
2013-12-01,53220.0
2014-01-01,-10385.0
2014-02-01,-193532.0
2014-03-01,-36895.0
2014-04-01,106853.0
2014-05-01,-129971.0
2014-06-01,70519.0
2014-07-01,-94621.0
2014-08-01,-128677.0
2014-09-01,105803.0
2014-10-01,-121713.0
2014-11-01,-56818.0
2014-12-01,1864.0
2015-01-01,-16271.0
2015-02-01,-192354.5
2015-03-01,-52914.02996518
2015-04-01,156711.539219625
2015-05-01,-83226.63920952
2015-06-01,51131.382000770005
2015-07-01,-149186.883056425
2015-08-01,-64417.207965004
2015-09-01,90954.00888410857
2015-10-01,-136543.52827163998
2015-11-01,-64551.473192980004
2015-12-01,-14443.971926750002
2016-01-01,55163.144257445
2016-02-01,-192612.400682544
2016-03-01,-108042.86536939001
2016-04-01,106451.93591834001
2016-05-01,-52507.20642226999
2016-06-01,6251.99372008
2016-07-01,-112816.6954018
2016-08-01,-107111.78784002
2016-09-01,33393.597621984
2016-10-01,-44847.680390696
2016-11-01,-136658.02996142398
2016-12-01,-27426.26618622
2017-01-01,51257.0888215
2017-02-01,-192044.23266773002
2017-03-01,-176232.53012322
2017-04-01,182428.02882435502
2017-05-01,-88424.797746472
2017-06-01,-90233.095535335
2017-07-01,-42939.188800485
2017-08-01,-107688.88838994001
2017-09-01,7954.433174092
2017-10-01,-63214.008983475
2017-11-01,-138547.218908795
2017-12-01,-23193.023795488
2018-01-01,49236.288283168
2018-02-01,-215244.46896896002
2018-03-01,-208743.12490494
2018-04-01,214255.056833655
2018-05-01,-146796.22168278001
2018-06-01,-74857.99523178
2018-07-01,-76865.11483531
2018-08-01,-214147.76274032
2018-09-01,119116.00444016
2018-10-01,-100491.07127236499
2018-11-01,-204902.77869938998
2018-12-01,-13539.179314525001
2019-01-01,8682.146644392
2019-02-01,-233977.1244134
2019-03-01,-146944.88282694502
2019-04-01,160304.75445493
2019-05-01,-207768.19567333002
2019-06-01,-8476.527381688
2019-07-01,-119695.90309673
2019-08-01,-200344.174464565
2019-09-01,82767.82923239
2019-10-01,-134467.782466905
2019-11-01,-208838.14722836998
2019-12-01,-13278.022926568001
2020-01-01,-32593.912003056004
2020-02-01,-235312.28554982803
2020-03-01,-119125.08235901
2020-04-01,-737919.24843186
2020-05-01,-398804.45682983997
2020-06-01,-864074.04566114
2020-07-01,-62991.863197269995
2020-08-01,-200067.33836921997
2020-09-01,-124610.77920959501
2020-10-01,-284070.53717284004
2020-11-01,-145266.26352985
2020-12-01,-143562.32743913
2021-01-01,-162832.48946754
2021-02-01,-310921.94250467
2021-03-01,-659591.61844058
2021-04-01,-225579.46032577
2021-05-01,-131953.06316821
2021-06-01,-174160.55026216
2021-07-01,-302050.4883435
2021-08-01,-170634.65366187
2021-09-01,-61544.25121268
2021-10-01,-165055.36693325
2021-11-01,-191335.04052197
2021-12-01,-21303.12942523
2022-01-01,118698.85824166
2022-02-01,-216589.75205605
2022-03-01,-192682.38665693
2022-04-01,308215.06052679
2022-05-01,-66222.56120958
2022-06-01,-88841.51292609
2022-07-01,-211051.76005026
2022-08-01,-219596.24094964
2022-09-01,-429673.47896184
2022-10-01,-87797.83631139
2022-11-01,-248534.88065258003
2022-12-01,-85000.73657788
2023-01-01,-38783.77183922
2023-02-01,-262433.84319423
2023-03-01,-378076.31647174
2023-04-01,176180.79034912
2023-05-01,-240348.23965837
2023-06-01,-227768.41253805
2023-07-01,-220782.0973536
2023-08-01,89255.57269373
2023-09-01,-170982.20087478
2023-10-01,-66563.55112973
2023-11-01,-314012.00228709
2023-12-01,-129365.41491979001
2024-01-01,-21930.35633102
2024-02-01,-296274.64807989
2024-03-01,-236456.8239502
2024-04-01,209529.30662533
2024-05-01,-347130.89369165
2024-06-01,-65965.29247634
2024-07-01,-243741.08729742997
2024-08-01,-380080.4054345
2024-09-01,64263.00886774
2024-10-01,-257450.34319191
2024-11-01,-366763.06436807
2024-12-01,-86731.61901329
2025-01-01,-128640.20667349
2025-02-01,-307017.19469927
2025-03-01,-160530.32149936
